,Imperium Prediction and Forecast,lower imperium,upper imperium,Legacy Prediction and Forecast,lower legacy,upper legacy,Panfam Prediction and Forecast,lower panfam,upper panfam,PAPI Prediction and Forecast,lower papi_total,upper papi_total,Imperium Subcap Prediction and Forecast,lower imperium wo caps,upper imperium wo caps,PAPI Subcap Prediction and Forecast,lower papi wo caps,upper papi wo caps
2020-01-13,4241.782423697197,,,2918.7336698390955,,,3083.5669023391592,,,8713.734562703936,,,3940.0847815898496,,,7642.210798202428,,
2020-01-20,4212.63915047378,,,2803.4461017877384,,,3132.2276864732153,,,8419.481544349863,,,3949.114012313947,,,7312.2755746131625,,
2020-01-27,4210.605898853542,,,2897.7014783702666,,,3273.41249677766,,,8821.579722343415,,,3920.5214483543054,,,7736.591306873395,,
2020-02-03,3634.5179397860043,,,2398.3816734991865,,,2902.6310289392877,,,7955.961619806676,,,3341.145810224722,,,7059.27236229351,,
2020-02-10,4228.227412895608,,,2716.2014556948193,,,3335.0951808912528,,,9090.121311909266,,,3985.9833711040114,,,8013.38792474035,,
2020-02-17,4249.237679638071,,,2846.289454779797,,,3209.673723193615,,,9052.268375082163,,,3985.230935210337,,,7916.628075514653,,
2020-02-24,4020.157997091215,,,2880.564137173443,,,3073.2864549868937,,,8841.577500289808,,,3709.8393981253657,,,7831.764929062606,,
2020-03-02,3994.4034765681954,,,3054.27445930488,,,3196.6518232140784,,,9346.521393436236,,,3707.5820904443417,,,8293.356996680279,,
2020-03-09,4530.442187181468,,,3577.2715016986126,,,3488.582580178248,,,11142.896394353316,,,4234.384920933908,,,9935.079507883107,,
2020-03-16,4700.56945091926,,,3877.643651275529,,,3672.783672148531,,,11885.092836408896,,,4441.310861483696,,,10785.655444885975,,
2020-03-23,5005.5571939550155,,,3841.8110287730806,,,3829.731835059783,,,11975.797043522893,,,4653.4977834999845,,,10939.5194674252,,
2020-03-30,5134.329796570112,,,3686.017017892868,,,3772.8466930439145,,,11546.559024030666,,,4843.1116287060295,,,10565.963000332547,,
2020-04-06,5019.112204756604,,,3855.0535196978985,,,3755.712614123472,,,11823.67108985926,,,4661.022142436733,,,10818.173099133957,,
2020-04-13,4456.641223080233,,,3277.5285734960917,,,3589.203314856941,,,10177.993629895356,,,4249.342003679408,,,9522.248081885264,,
2020-04-20,4637.588739103599,,,3592.5427668960133,,,3765.5032433727647,,,11164.176567492337,,,4453.246061076053,,,10524.385323499033,,
2020-04-27,4345.478256329354,,,3227.9847814363166,,,3468.055633313885,,,9739.334888811818,,,4197.4178572266255,,,9073.780698631808,,
2020-05-04,4488.483620286119,,,3068.295920284099,,,3587.308822600164,,,9659.343777026246,,,4246.326190315487,,,8835.053529640538,,
2020-05-11,4312.268479865461,,,3005.9783159320145,,,3428.304570218459,,,9457.937584851856,,,4133.460806264269,,,8790.639172618907,,
2020-05-18,4411.220058717061,,,3162.5512968666276,,,3581.8259173456227,,,9857.178937424493,,,4230.525036548316,,,9182.43725063116,,
2020-05-25,4752.806330917107,,,3187.4783386074614,,,3615.40871202969,,,9935.74163649961,,,4396.060933156768,,,9192.747726368323,,
2020-06-01,4484.417117045643,,,3049.6006389784734,,,3613.3526225592364,,,9764.332111244808,,,4219.9909340368695,,,8979.400189960841,,
2020-06-08,4654.532502605585,,,3167.225117193034,,,3768.930059156853,,,10162.859257462218,,,4371.982984559176,,,9440.19914406027,,
2020-06-15,4170.618616988854,,,3007.5362560408166,,,3418.024122866194,,,9558.64068093905,,,3976.2017044862396,,,8844.57089185946,,
2020-06-22,3877.15263313445,,,2709.969695259611,,,3446.1240122957192,,,9112.261708921345,,,3660.1786291428302,,,8354.426737585023,,
2020-06-29,5440.167770888958,,,3224.6895288850656,,,3213.1005389777033,,,9046.554724240337,,,5111.305997654976,,,8315.564175191095,,
2020-07-06,5543.410201236449,,,3392.9664064683197,,,3727.716768281407,,,10305.575153809294,,,5359.865623013327,,,9566.241961680864,,
2020-07-13,6295.035550184566,,,3819.8419962801013,,,4122.264236808474,,,10901.995766102316,,,5993.416645487495,,,10104.75197855308,,
2020-07-20,4918.4018109519075,,,3379.903287877148,,,4055.09864744034,,,10679.163383271078,,,4755.228634885313,,,9896.956236773303,,
2020-07-27,5254.341730575904,,,3576.184395753591,,,3590.5139285843284,,,9857.23724310186,,,5059.709391377928,,,8985.73103609172,,
2020-08-03,5295.684513520751,,,3641.61788032328,,,3996.4706272203275,,,10552.10172106166,,,5084.539775869196,,,9599.6149612272,,
2020-08-10,4889.711940013157,,,3753.010598102632,,,4293.918237279207,,,11071.329741312655,,,4709.826700819153,,,9973.171428319853,,
2020-08-17,5011.02928668738,,,3516.9826716191105,,,4025.2558798066707,,,10404.97521188462,,,4859.5614436604355,,,9379.129403155528,,
2020-08-24,4661.3100080063805,,,3411.042744220566,,,3677.091396143282,,,9755.761634982071,,,4488.610548078767,,,8859.640048706084,,
2020-08-31,4635.555487483361,,,3379.1049719901225,,,3406.372949200293,,,9453.652346720486,,,4434.435163734182,,,8587.60211194859,,
2020-09-07,4436.296828700001,,,3311.33457725723,,,3742.200896040963,,,9987.878700431276,,,4201.9324725886745,,,8648.671852853333,,
2020-09-14,4481.7061148853245,,,3234.216541871525,,,3223.3809863299684,,,9233.67678931016,,,4334.361189875437,,,8349.668056475562,,
2020-09-21,4593.5349539984345,,,3292.6392959516047,,,3568.8040173660866,,,9766.474730310494,,,4394.556061369419,,,8834.260416122295,,
2020-09-28,4756.195083617505,,,3455.4440373214265,,,3995.0999009066923,,,10419.25933898919,,,4539.776188848653,,,9287.921348557535,,
2020-10-05,5682.918312457439,,,4134.7032161389025,,,4633.16030837804,,,11909.824707270358,,,5245.595261315304,,,9933.031958680895,,
2020-10-12,5839.803148273284,,,4150.398321105233,,,4636.324253755277,,,12016.188472546206,,,5502.611275514457,,,10051.909870360148,,
2020-10-19,4408.155767074154,,,3257.701347381865,,,3579.506957468318,,,9660.005001728301,,,4284.383359455277,,,8818.309029700165,,
2020-10-26,4677.576020968287,,,3287.1865055707976,,,3616.0940751865073,,,9812.183937045109,,,4573.635804064018,,,8999.228027916928,,
2020-11-02,4721.6298060734525,,,3312.8925173660323,,,3655.1597751251156,,,9927.885366592096,,,4645.869649856797,,,9095.19476362438,,
2020-11-09,4521.015646209933,,,3453.8860972126245,,,3825.129838015904,,,10264.99076625987,,,4351.667215429957,,,9324.404570396731,,
2020-11-16,4725.018558773849,,,3658.7552215201035,,,4026.626606120306,,,10919.20378764902,,,4542.033496529677,,,9955.722930918499,,
2020-11-23,4767.716842798855,,,3643.954790486483,,,3926.563585224923,,,10704.941881080522,,,4633.078239664325,,,9944.619341663089,,
2020-11-30,4556.9364248341435,,,3531.7831026527306,,,3757.2788854909522,,,9999.30600211493,,,4439.702214989906,,,9207.816883214948,,
2020-12-07,4346.833757409513,,,3211.6264102938944,,,3620.8916172842314,,,9448.652902233887,,,4204.189780269699,,,8720.052069495243,,
2020-12-14,4328.534492827367,,,3129.834554581783,,,3455.719096491167,,,9230.819963889247,,,4195.912985439276,,,8533.670392708036,,
2020-12-21,4260.759438819422,,,2991.9568549527953,,,3269.300317836754,,,8858.718452815287,,,4113.8974730287255,,,8051.457373616035,,
2020-12-28,5957.017525235361,,,3528.0176899602175,,,3807.369960291824,,,10047.123304607841,,,4923.101016155757,,,8668.504966717548,,
2021-01-04,6653.096587295236,,,3864.137655772114,,,3908.707276575616,,,10715.32694111517,,,5233.313972132944,,,9058.622832058021,,
2021-01-11,5993.6453117979245,,,3320.4165578001735,,,3487.8942982895514,,,9679.013519678861,,,5146.783844360343,,,8962.656096350569,,
2021-01-18,5618.849263133986,,,3371.8285813906436,,,3439.2335141554954,,,9671.157249771351,,,4874.402050850073,,,8940.44891783975,,
2021-01-25,5659.514295538753,,,3467.641898081974,,,3679.795982198506,,,9978.265982519531,,,4830.00833312326,,,9115.72700537155,,
2021-02-01,3938.8571896799535,,,3146.5767980892447,,,3589.2684811453905,,,9688.332725604218,,,3857.5262010687984,,,8963.443933960683,,
2021-02-08,4424.7750695186505,,,3402.4740736221543,,,3543.4455805638318,,,9856.464731069265,,,4136.4705498389685,,,9213.36867784265,,
2021-02-15,4290.580462582918,,,3242.785212469937,,,3627.745248852408,,,9708.624015537,,,4111.6401653477005,,,9025.40077401896,,
2021-02-22,4836.84739788696,,,3422.727295036582,,,3554.4113910729147,,,9948.597350893719,,,4518.707983825759,,,9316.473435214297,,
2021-03-01,4279.736453941647,,,3499.066360367886,,,3583.196643659258,,,9967.166716129655,,,3997.269909509133,,,9186.402818222376,,
2021-03-08,4392.920794134916,,,3555.9311743391636,,,3711.359553984167,,,10299.986877666057,,,4186.1313188215045,,,9467.165003680548,,
2021-03-15,4150.96385132655,,,3690.692993750547,,,4140.396890152043,,,10852.782596612786,,,3998.022345402808,,,9559.959285315028,,
2021-03-22,4313.623980945619,,,3666.544922064114,,,3836.095648524987,,,10519.248228721155,,,4180.864267565781,,,9454.475187388653,,
2021-03-29,4005.247485209467,,,3722.6307659809904,,,3977.96582198625,,,10670.659976029561,,,3852.0497820298997,,,9356.129111126469,,
2021-04-05,4100.81031136067,,,3559.0470545567678,,,3824.4444748590863,,,10274.275448877837,,,3951.3713199949716,,,9094.401650106138,,
2021-04-12,4138.08659106504,,,3520.8775218911155,,,3741.5155328841456,,,10206.425845131147,,,3993.5077300407593,,,9005.572936062876,,
2021-04-19,3696.8709894733147,,,3244.343152578739,,,3376.216970300314,,,9611.491951225946,,,3539.788886154865,,,8617.74042564184,,
2021-04-26,4181.027671203289,,,2843.457882149383,,,2997.871191561184,,,8711.795284978496,,,4024.783358853437,,,8229.41193592573,,
2021-05-03,4634.622605045562,,,2970.165096785297,,,3218.447301038365,,,8989.406898024501,,,4503.157801466341,,,8562.342044219504,,
2021-05-10,4572.269555358251,,,2915.6371929772226,,,3155.3938906111366,,,9079.39689878327,,,4294.733058918426,,,8597.239039022215,,
2021-05-17,4548.548286455471,,,2971.723036894099,,,3071.779585479378,,,9020.831977654547,,,4125.434982841599,,,8673.377936773582,,
2021-05-24,4659.699375028501,,,2953.806725642875,,,2989.5360066612548,,,8729.435784721387,,,4255.606392447337,,,8342.649599666076,,
2021-05-31,4374.36639765505,,,2671.8195659496905,,,2699.6273913273703,,,8195.209431010597,,,4063.7352395602666,,,7721.641714881473,,
2021-06-07,4591.924321020555,4081.2735199033536,5102.575122137756,2713.883948887348,2417.327573051756,3010.44032472294,2877.8218120999704,2496.2940011330525,3259.3496230668884,8531.60062432314,7722.850780262373,9340.350468383907,4235.2906233181175,3816.310449694099,4654.270796942135,8001.610786821402,7357.355276035627,8645.866297607177
2021-06-14,4675.236345981137,4058.3528902011376,5292.119801761136,2767.5424822994855,2391.629423396028,3143.455541202943,2946.2360043600693,2483.7017562814417,3408.770252438697,8581.309832542587,7587.471533370734,9575.14813171444,4331.068657230906,3806.730449822463,4855.406864639349,8070.3029726751565,7248.017614888477,8892.588330461836
2021-06-21,4731.701115893285,4071.7268156082555,5391.675416178314,2809.340872990619,2392.5769421959776,3226.1048037852606,2993.124571138583,2497.0852947723524,3489.163847504814,8616.812464966284,7540.754686913441,9692.870243019126,4403.135487772488,3827.6365675102907,4978.634408034685,8124.783673873458,7208.058428124686,9041.50891962223
2021-06-28,4769.9701441967045,4091.1184030710824,5448.821885322327,2841.900567661168,2402.194855709255,3281.6062796130814,3025.2602672845624,2514.240637730754,3536.279896838371,8642.168670670624,7526.502714047753,9757.834627293496,4457.361157815353,3854.81992188353,5059.902393747177,8167.993054477212,7196.555020136898,9139.431088817526
2021-07-05,4795.906998797664,4108.557733418283,5483.256264177045,2867.263594789968,2414.202916431944,3320.3242731479922,3047.284889441705,2529.378195273365,3565.1915836100457,8660.27823392914,7524.94057649826,9795.615891360021,4498.16249831417,3880.8359595782467,5115.489037050093,8202.262998348975,7197.934985890906,9206.591010807044
2021-07-12,4813.485716011426,4122.268161416602,5504.70327060625,2887.020633412265,2426.044814706004,3347.9964521185257,3062.3797540110418,2541.2694671168288,3583.490040905255,8673.212199098782,7527.970321167815,9818.454077029748,4528.862891415527,3903.3204245129964,5154.405358318058,8229.442954103113,7204.967044219984,9253.918863986242
2021-07-19,4825.399701096957,4132.412501448438,5518.386900745476,2902.410774862679,2436.697669009375,3368.1238807159825,3072.7252180440173,2550.116909700481,3595.333526387554,8682.449719221242,7532.188634526662,9832.710803915821,4551.962969134913,3921.8164640095174,5182.109474260308,8250.999744436978,7214.050774931764,9287.948713942193
2021-07-26,4833.474410923175,4139.675845148104,5527.272976698247,2914.3992341855483,2445.834917359793,3382.9635510113035,3079.815617932402,2556.5051351824404,3603.1261006823634,8689.047214799253,7536.234295798175,9841.860133800332,4569.344296757657,3936.606022692248,5202.082570823065,8268.096726260705,7223.378135627002,9312.815316894406
2021-08-02,4838.947049868879,4144.776104335196,5533.117995402562,2923.737884996469,2453.451896311507,3394.023873681431,3084.6751167830043,2561.035131820787,3608.315101745222,8693.759188069658,7539.646775161205,9847.871600978111,4582.4226315407295,3948.221697953039,5216.62356512842,8281.656573666265,7232.080133504151,9331.23301382838
2021-08-09,4842.656133869989,4148.31420419727,5536.998063542709,2931.012414326684,2459.6847907239708,3402.340037929397,3088.0056382558055,2564.210950187867,3611.800326323744,8697.124509325049,7542.349799848141,9851.899218801957,4592.263240061009,3957.2357011030203,5227.2907790189975,8292.411071948934,7239.790389684701,9345.031754213167
